,Workout Name,Body Part,Equipment
1929,Holman Knee Pull-In Crunch,Abs,Body Only
1930,Holman Jump-Out Push-Up,Legs,Body Only
1931,Holman Alternating Forward Lunge,Legs,Body Only
1932,Holman Straight Plank with Hand Tap,Abs,Body Only
1933,Holman Straight Plank with Dirty Dog,Abs,Body Only
1934,Holman Burpee to Jump,Legs,Body Only
1935,Holman Elbow Plank Roll,Abs,Body Only
1936,Holman Pilates Single-Leg Stretch,Legs,Body Only
1937,Holman Froggy Push-Up,Abs,Body Only
1938,Holman Hip Raise with Alternating Kick,Legs,Body Only
1939,Holman Left Leg Donkey Kick,Legs,Body Only
1940,Holman Straight Plank Hand Tap to Shoulder Tap,Abs,Body Only
1941,Holman In-Out Straight Plank,Abs,Body Only
1942,Holman Weighted Burpee to Belly Touch,Legs,Other
1943,Holman Bicycle,Abs,Body Only
1944,Holman Alternating Reverse Prisoner Lunge,Legs,Body Only
1945,Holman Diagonal Left Leg Step-Out to Left Knee-Up,Legs,
1946,Holman Diagonal Right Leg Step-Out to Right Knee-Up,Legs,Body Only
1947,Holman Narrow-Wide Squat Jump to 180 Jump,Legs,Body Only
1948,Holman Boat with Weighted Cross Punch,Abs,Other
1949,Holman Alternating Diagonal Knee Pull-in,Abs,Body Only
1950,Holman 180 Jump to Lunge,Legs,Body Only
1951,Holman Weighted Burpee to Front Punch,Legs,Other
1952,Holman Weighted Hook Punch,Abs,Other
1953,Holman Weighted Traveling Punch,Abs,Other
1954,Holman Imaginary Jump Rope,Legs,Body Only
1955,Holman Push-Up,Chest,Body Only
1956,Holman Weighted Uppercut Punch,Abs,Other
1957,Holman Elbow Plank with Step-Out,Abs,Body Only
1958,Holman Fast Feet with Hands Up,Legs,Body Only
1959,Holman Weighted Low Squat Punch,Legs,Other
1960,Holman Weighted Hook Punch to Squat Thrust,Legs,Other
1961,Holman Right Leg Donkey Kick,Legs,Body Only
1962,Holman Hands-Elevated Alternating Lunge Jump,Legs,Body Only
1963,Holman Slow Deadlift,Back,Dumbbell
1964,Holman Alternating Slow L-Raise,Abs,Body Only
1965,Holman Feet-Elevated Plank with Shoulder Tap,Abs,Body Only
1966,Holman Slow Weighted Reverse Lunge,Legs,Dumbbell
1967,Holman Slow Hips-Up Chest Press,Chest,Body Only
1968,Holman Butt Tap to Jump,Legs,Body Only
